# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;
8.880000000000000E+007;-6.680874012500440E-001;-6.309093938357975E-001;
8.890000000000000E+007;-6.774287045262438E-001;-6.180025405485563E-001;
8.900000000000000E+007;-6.762944095504045E-001;-6.184273346630557E-001;
8.910000000000000E+007;-6.831515391688821E-001;-6.113359345500524E-001;
8.920000000000000E+007;-6.827257158206922E-001;-6.090751759846693E-001;
8.930000000000000E+007;-6.693508727761854E-001;-6.285199658357652E-001;
8.940000000000000E+007;-6.664242338201806E-001;-6.338240328437494E-001;
8.950000000000000E+007;-6.787592725444300E-001;-6.186782762308443E-001;
8.960000000000000E+007;-6.740587063434071E-001;-6.241937125650774E-001;
8.970000000000000E+007;-6.871648879271504E-001;-6.071219412578963E-001;
8.980000000000000E+007;-6.829689007153970E-001;-6.137526281443654E-001;
8.990000000000000E+007;-6.997428424180480E-001;-5.896010724151618E-001;
9.000000000000000E+007;-6.893183571911076E-001;-6.073709462020565E-001;
